"","INSTNM","Total","crime"
"760","Webber International University",682,5
"761","Rasmussen College-Florida",8146,0
"762","The University of West Florida",13040,5
"763","Orange Technical College-Westside Campus",1897,0
"764","William T McFatter Technical College",1043,0
"765","Orange Technical College-Winter Park Campus",1546,0
"766","Withlacoochee Technical College",160,0
"767","Abraham Baldwin Agricultural College",3394,0
"768","Agnes Scott College",921,5
"769","Interactive College of Technology-Chamblee",536,0
"770","Interactive College of Technology-Morrow",35,0
"771","Albany Technical College",3167,0
"772","Albany State University",6615,26
"773","Andrew College",285,3
"774","Armstrong State University",7041,23
"775","The Art Institute of Atlanta",1582,0
"776","Georgia Career Institute",441,0
"777","Atlanta Technical College",4098,0
"778","Point University",1952,4
"779","Atlanta Metropolitan State College",2501,1
"780","Atlanta's John Marshall Law School",463,0
"781","Atlanta School of Massage",282,0
"782","Clark Atlanta University",3992,17
"783","Augusta Technical College",4595,1
"784","Bainbridge State College",1746,1
"785","Berry College",2110,17
"786","Beulah Heights University",390,0
"787","Brenau University",2932,1
"788","Brewton-Parker College",783,3
"789","Brown College of Court Reporting",198,0
"790","College of Coastal Georgia",3663,2
"791","West Georgia Technical College",6682,0
"792","Clayton  State University",7003,7
"793","Columbia Theological Seminary",187,5
"794","Columbus Technical College",3097,0
"795","Columbus State University",8453,13
"796","Georgia Northwestern Technical College",5643,1
"797","Covenant College",1068,3
"798","Dalton State College",5164,1
"799","Pro Way Hair School",180,0
"800","South University-Savannah",1228,0
"801","East Georgia State College",3003,8
"802","Emmanuel College",953,4
"803","Emory University",14263,73
"804","Georgia Highlands College",6013,0
"805","Fort Valley State University",2752,9
"806","Grady Health System Professional Schools",67,20
"807","Georgia Institute of Technology-Main Campus",29376,47
"808","Georgia Southwestern State University",3052,2
"809","Georgia College & State University",6952,13
"810","Georgia Southern University",20418,24
"811","Georgia State University",32816,29
"812","University of Georgia",37606,61
"813","Gordon State College",3986,4
"814","Southern Crescent Technical College",4756,5
"815","Gupton Jones College of Funeral Service",249,0
"816","Gwinnett College-Lilburn",252,0
"817","Gwinnett Technical College",8321,1
"818","Interdenominational Theological Center",295,0
"819","LaGrange College",1049,11
"820","Lanier Technical College",3681,3
"821","Life University",2619,3
"822","Chattahoochee Technical College",10201,0
"823","Herzing University-Atlanta",686,0
"824","Mercer University",8653,22
"825","Morehouse College",2202,55
"826","Morehouse School of Medicine",520,0
"827","North Georgia Technical College",2698,1
"828","Oglethorpe University",1250,5
"829","Paine College",426,2
"830","Piedmont College",2361,0
"831","Miami Ad School at Portfolio Center",48,0
"832","Reinhardt University",1508,9
"833","Savannah Technical College",3935,0
"834","Savannah College of Art and Design",13163,1
"835","Savannah State University",4429,33
"836","Shorter University",1520,5
"837","South Georgia Technical College",1850,0
"838","The Creative Circus",227,0
"839","Spelman College",2137,8
"840","Thomas University",1601,1
"841","Toccoa Falls College",1411,0
"842","Truett McConnell University",2622,0
"843","Wiregrass Georgia Technical College",3936,1
"844","Valdosta State University",11341,18
"845","Wesleyan College",603,1
"846","University of West Georgia",13520,36
"847","Young Harris College",1202,9
"848","Chaminade University of Honolulu",2389,1
"849","University of Hawaii at Hilo",3539,9
"850","University of Hawaii at Manoa",17612,71
"851","Hawaii Institute of Hair Design",95,0
"852","Hawaii Pacific University",4146,11
"853","Honolulu Community College",3563,7
"854","Kapiolani Community College",7095,4
"855","Kauai Community College",1346,0
"856","Leeward Community College",6805,5
"857","University of Hawaii Maui College",3302,5
"858","Travel Institute of the Pacific",66,0
"859","University of Hawaii-West Oahu",3082,0
"860","Windward Community College",2511,1
"861","Carrington College-Boise",429,1
"862","Boise Bible College",130,1
"863","Boise State University",24121,31
"864","College of Eastern Idaho",791,1
"865","Idaho State University",12493,10
"866","University of Idaho",12072,9
"867","The College of Idaho",954,8
"868","Lewis-Clark State College",3746,2
"869","Aveda Institute-Twin Falls",66,0
"870","Mr Leon's School of Hair Design-Moscow",15,0
"871","North Idaho College",5390,6
"872","Northwest Nazarene University",2168,16
"873","Elevate Salon Institute-Chubbuck",28,0
"874","Brigham Young University-Idaho",51881,29
"875","College of Southern Idaho",6876,8
"876","Adler University",1097,3
"877","American Academy of Art",260,0
"878","School of the Art Institute of Chicago",3648,6
"879","Augustana College",2647,2
"880","Aurora University",5833,9
"881","Tricoci University of Beauty Culture-Urbana",69,0
"882","Southwestern Illinois College",8859,8
"883","Bethany Theological Seminary",47,1
"884","Black Hawk College",4926,2
"885","Blackburn College",554,4
"886","Blessing Rieman College of Nursing and Health Sciences",288,38
"887","Blessing Hospital School of Radiologic Technology",18,38
"888","Bradley University",5844,16
"889","Paul Mitchell the School-Bradley",305,0
"890","Cameo Beauty Academy",91,0
"891","Cannella School of Hair Design-Villa Park",50,0
"892","Cannella School of Hair Design-Chicago",33,0
"893","Cannella School of Hair Design-Chicago",61,0
"894","Empire Beauty School-Hanover Park",61,0
"895","Capri Beauty College",57,0
"896","Carl Sandburg College",1947,0
"897","Catholic Theological Union at Chicago",295,0
"898","La James International College-East Moline",11,0
"899","Midwestern University-Downers Grove",2971,0
"900","The Chicago School of Professional Psychology at Chicago",1271,0
"901","Chicago State University",3101,2
"902","Chicago Theological Seminary",232,0
"903","University of Chicago",16227,45
"904","City Colleges of Chicago-Kennedy-King College",3395,6
"905","City Colleges of Chicago-Malcolm X College",6713,3
"906","City Colleges of Chicago-Olive-Harvey College",2882,3
"907","City Colleges of Chicago-Harry S Truman College",8186,6
"908","City Colleges of Chicago-Richard J Daley College",7182,3
"909","City Colleges of Chicago-Harold Washington College",8869,0
"910","City Colleges of Chicago-Wilbur Wright College",10227,0
"911","Columbia College Chicago",7312,19
"912","Concordia University-Chicago",5755,8
"913","Coyne College",422,0
"914","City Colleges of Chicago-District Office",NA,1
"915","Danville Area Community College",2645,0
"916","Tricoci University of Beauty Culture-Danville",62,0
"917","DePaul University",22769,41
"918","Cosmetology & Spa Academy",198,0
"919","College of DuPage",26165,3
"920","East-West University",430,0
"921","Eastern Illinois University",7030,5
"922","Elgin Community College",9599,0
"923","Elmhurst College",3481,7
"924","Eureka College",614,0
"925","First Institute Inc",252,1
"926","Fox College",433,0
"927","Garrett-Evangelical Theological Seminary",313,2
"928","Gem City College",36,0
"929","Governors State University",5185,5
"930","Graham Hospital School of Nursing",34,0
"931","Greenville University",1235,0
"932","Hair Professionals Academy of Cosmetology",272,0
"933","Hair Professionals Career College",48,0
"934","Hair Professionals School of Cosmetology",84,0
"935","Hebrew Theological College",199,1
"936","Highland Community College",1678,5
"937","Rosalind Franklin University of Medicine and Science",2145,1
"938","University of Illinois at Chicago",30539,77
"939","Benedictine University",5100,12
"940","Illinois College of Optometry",599,1
"941","University of Illinois at Urbana-Champaign",48216,83
"942","Illinois Wesleyan University",1649,19
"943","Illinois Central College",9266,12
"944","Illinois College",959,6
"945","Olney Central College",1142,0
"946","Illinois Institute of Technology",7164,27
"947","Argosy University-Chicago",528,0
"948","Illinois State University",20784,35
"949","Illinois Valley Community College",3241,0
"950","Institute for Clinical Social Work",99,0
"951","John A Logan College",3933,0
"952","The John Marshall Law School",1005,0
"953","John Wood Community College",1896,0
"954","Joliet Junior College",14910,2
"955","Judson University",1283,2
"956","Kankakee Community College",3025,0
"957","Kaskaskia College",3107,0
"958","Kendall College",1027,0
"959","Kishwaukee College",3417,2
"960","Knox College",1356,20
"961","Educators of Beauty College of Cosmetology-La Salle",50,0
"962","College of Lake County",14590,2
"963","Lake Forest College",1542,11
"964","Lake Forest Graduate School of Management",370,0
"965","Lake Land College",4965,0
"966","Lakeview College of Nursing",223,0
"967","Lewis and Clark Community College",7000,0
"968","Lewis University",6506,7
"969","Lincoln Christian University",789,3
"970","Lincoln College",1121,6
"971","Lincoln Land Community College",6259,1
"972","Lincoln College of Technology-Melrose Park",719,0
"973","Loyola University Chicago",16673,18
"974","Lutheran School of Theology at Chicago",201,3
"975","Trinity College of Nursing & Health Sciences",217,0
"976","Steven Papageorge Hair Academy",47,0
"977","MacCormac College",278,0
"978","MacMurray College",521,2
"979","McCormick Theological Seminary",214,0
"980","McHenry County College",6843,2
"981","McKendree University",2676,33
"982","Meadville Lombard Theological School",91,0
"983","Methodist College",681,0
"984","Midstate College",279,0
"985","Millikin University",2040,6
"986","Monmouth College",1033,11
"987","Moody Bible Institute",3442,10
"988","Moraine Valley Community College",14620,1
"989","Morrison Institute of Technology",102,0
"990","Morton College",4387,1
"991","Mr John's School of Cosmetology Esthetics & Nails-Decatur",52,0
"992","National Louis University",4918,1
"993","National University of Health Sciences",686,1
"994","Niles School of Cosmetology",55,0
"995","North Central College",2965,10
"996","North Park University",2937,9
"997","Northern Baptist Theological Seminary",217,0
"998","Northern Illinois University",18045,30
"999","Northwestern University",22008,58
"1000","Northeastern Illinois University",8984,3
"1001","Oakton Community College",8907,0
"1002","Oehrlein School of Cosmetology",46,0
"1003","Olivet Nazarene University",4986,4
"1004","Parkland College",7159,2
"1005","Prairie State College",4403,0
"1006","Professional's Choice Hair Design Academy",50,0
"1007","Quincy University",1067,5
"1008","Vatterott College-Quincy",94,0
"1009","The Illinois Institute of Art-Chicago",753,0
"1010","Rend Lake College",2333,0
"1011","Richland Community College",2515,9
"1012","Robert Morris University Illinois",2307,4
"1013","Rock Valley College",6378,1
"1014","Madison Media Institute-Rockford Career College",465,0
"1015","Rockford University",1262,7
"1016","Roosevelt University",4457,12
"1017","Dominican University",3127,0
"1018","Rush University",2569,22
"1019","Saint Francis Medical Center College of Nursing",648,0
"1020","University of St Francis",4166,6
"1021","St. John's College-Department of Nursing",128,0
"1022","Saint Xavier University",3715,2
"1023","University of Illinois at Springfield",4956,18
"1024","Sauk Valley Community College",1754,0
"1025","Shawnee Community College",1505,0
"1026","Saint Augustine College",1256,0
