"","INSTNM","Total","crime"
"717","Orange Technical College-Orlando Campus",1287,2
"718","Palm Beach Atlantic University",3839,11
"719","Palm Beach State College",30052,5
"720","Pasco-Hernando State College",11947,1
"721","Pensacola State College",9655,10
"722","Pinellas Technical College-Clearwater",410,0
"723","Polk State College",10659,0
"724","Radford M Locklin Technical Center",596,0
"725","Saint Vincent de Paul Regional Seminary",146,0
"726","Ridge Technical College",387,0
"727","Ringling College of Art and Design",1456,3
"728","Robert Morgan Educational Center and Technical College",634,1
"729","Rollins College",3278,20
"730","First Coast Technical College",449,0
"731","Saint Leo University",13099,5
"732","St Petersburg College",29548,4
"733","Pinellas Technical College-St. Petersburg",764,0
"734","Santa Fe College",14588,0
"735","Suncoast Technical College",1117,0
"736","Argosy University-Sarasota",380,0
"737","Seminole State College of Florida",17550,4
"738","Sheridan Technical College",1797,5
"739","Saint John Vianney College Seminary",70,0
"740","Saint Johns River State College",7249,0
"741","South Florida State College",2860,0
"742","University of South Florida-Main Campus",43540,58
"743","St Thomas University",4538,0
"744","Stetson University",4252,17
"745","Southeastern University",7163,13
"746","Bene's Career Academy",305,0
"747","RIVEROAK Technical College",173,0
"748","Tallahassee Community College",11782,5
"749","Talmudic College of Florida",32,0
"750","Altierus Career College-Tampa",1207,0
"751","The University of Tampa",8895,18
"752","Big Bend Technical College",164,0
"753","Tom P Haney Technical Center",422,0
"754","Trinity Baptist College",366,2
"755","Trinity College of Florida",189,0
"756","Fashion Focus Hair Academy",48,0
"757","Valencia College",44834,13
"758","Warner University",1212,4
"759","Florida Panhandle Technical College",364,0
