"College","Admission.Rate","ACT.score","SAT.score","Female.Proportion","Married","Tuition.Fee.in.state","Tuition.Fee.out.state","Website","Region","State","City","City.size","Control","Highest.Degree","Rank","Unemployment.Rate","Mean.Earnings.Students","Mean.Earnings.Female.Students","Mean.Earnings.Male.Students","Share.of.Students.Earning.over..25.000.year","Crime"
"South Texas Vocational Technical Institute-McAllen","NULL","NULL","NULL","0.5105920695","0.2455187398","NULL","NULL","www.stvt.edu","Southwest","TX","McAllen","City","Private for profit","Certificate degree","Rank over 230",4.34,"25400","22700","34000","0.331",0
"South Texas Vocational Technical Institute-San Antonio","NULL","NULL","NULL","0.5105920695","0.2455187398","NULL","NULL","www.stvt.edu/","Southwest","TX","San Antonio","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",1
"South Texas Vocational Technical Institute-Weslaco","NULL","NULL","NULL","0.6558505408","0.1740412979","NULL","NULL","www.stvt.edu","Southwest","TX","Weslaco","Suburb","Private for profit","Certificate degree","Rank over 230",4.82,"26900","23400","42500","0.363",0
"South University-Accelerated Graduate Programs","NULL","NULL","NULL","0.7628668652","0.2367077839","NULL","NULL","www.southuniversity.edu/admissions/accelerated-graduate-programs","Southeast","GA","Atlanta","City","Private for profit","Graduate degree","Rank over 230",5.58,"40200","38300","46700","0.603",0
"South University-Austin","NULL","NULL","NULL","0.7628668652","0.2367077839","17358","17358","www.southuniversity.edu/austin#location=Austin","%20TX","Southwest","TX","Round Rock","Rural","Private for profit","Graduate degree",5.58,"40200","38300","46700","0.603",0
"South University-Cleveland","NULL","NULL","NULL","0.7628668652","0.2367077839","17330","17330","www.southuniversity.edu/cleveland#location=Cleveland","%20OH","Great Lakes","OH","Warrensville Heights","Suburb","Private for profit","Graduate degree",5.58,"40200","38300","46700","0.603",0
"South University-Columbia","NULL","NULL","NULL","0.7628668652","0.2367077839","17306","17306","www.southuniversity.edu/columbia#location=Columbia","%20SC","Southeast","SC","Columbia","Suburb","Private for profit","Graduate degree",1.84,"40200","38300","46700","0.603",0
"South University-High Point","NULL","NULL","NULL","0.7628668652","0.2367077839","17393","17393","www.southuniversity.edu/high-point#location=High%20Point","%20NC","Southeast","NC","High Point","City","Private for profit","Graduate degree",5.58,"40200","38300","46700","0.603",0
"South University-Montgomery","NULL","NULL","NULL","0.7628668652","0.2367077839","17306","17306","www.southuniversity.edu/montgomery#location=Montgomery","%20AL","Southeast","AL","Montgomery","City","Private for profit","Graduate degree",1.84,"40200","38300","46700","0.603",0
"South University-Novi","NULL","NULL","NULL","0.7628668652","0.2367077839","17434","17434","www.southuniversity.edu/novi#location=Novi","%20MI","Great Lakes","MI","Novi","City","Private for profit","Graduate degree",5.58,"40200","38300","46700","0.603",0
"South University-Richmond","NULL","NULL","NULL","0.7628668652","0.2367077839","17331","17331","www.southuniversity.edu/richmond#location=Richmond","%20VA","Southeast","VA","Glen Allen","Suburb","Private for profit","Graduate degree",5.58,"40200","38300","46700","0.603",NA
"South University-Savannah","NULL","NULL","NULL","0.7628668652","0.2367077839","17016","17016","www.southuniversity.edu/savannah#location=Savannah","%20GA","Southeast","GA","Savannah","City","Private for profit","Graduate degree",1.84,"40200","38300","46700","0.603",0
"South University-Savannah Online","NULL","NULL","NULL","0.7628668652","0.2367077839","13420","13420","www.southuniversity.edu/online#location=Online%20Programs","Southeast","GA","Savannah","City","Private for profit","Graduate degree","Rank over 230",5.58,"40200","38300","46700","0.603",NA
"South University-Tampa","NULL","NULL","NULL","0.7628668652","0.2367077839","17330","17330","www.southuniversity.edu/tampa#location=Tampa","%20FL","Southeast","FL","Tampa","City","Private for profit","Graduate degree",5.58,"40200","38300","46700","0.603",0
"South University-The Art Institute of Dallas","NULL","NULL","NULL","0.7628668652","0.2367077839","17664","17664","www.artinstitutes.edu/dallas/","Southwest","TX","Dallas","City","Private for profit","Graduate degree","Rank over 230",1.36,"40200","38300","46700","0.603",0
"South University-The Art Institute of Fort Worth","NULL","NULL","NULL","0.7628668652","0.2367077839","NULL","NULL","www.artinstitutes.edu/fort-worth/","Southwest","TX","Fort Worth","City","Private for profit","Bachelor's degree","Rank over 230",5.58,"40200","38300","46700","0.603",NA
"South University-Virginia Beach","NULL","NULL","NULL","0.7628668652","0.2367077839","17330","17330","www.southuniversity.edu/virginia-beach#location=Virginia%20Beach","%20VA","Southeast","VA","Virginia Beach","City","Private for profit","Graduate degree",5.58,"40200","38300","46700","0.603",NA
"South University-West Palm Beach","NULL","NULL","NULL","0.7628668652","0.2367077839","17306","17306","www.southuniversity.edu/west-palm-beach#location=West%20Palm%20Beach","%20FL","Southeast","FL","Royal Palm Beach","Suburb","Private for profit","Graduate degree",1.84,"40200","38300","46700","0.603",0
"Southcentral Kentucky Community and Technical College","NULL","NULL","NULL","0.6101609658","0.1700201207","3936","13296","southcentral.kctcs.edu/","Southeast","KY","Bowling Green","City","Public","Associate degree","Rank over 230",1.76,"32800","27400","39000","0.596",1
"Southeast Arkansas College","NULL","NULL","NULL","0.6519208382","0.0942956927","3190","5830","www.seark.edu","Southeast","AR","Pine Bluff","City","Public","Associate degree","Rank over 230",2.83,"29700","27800","34800","0.5",0
"Southeast Community College Area","NULL","NULL","NULL","0.5111161525","0.1270417423","3214","3929","www.southeast.edu","Plains","NE","Lincoln","City","Public","Associate degree","Rank over 230",0.52,"40200","32500","48000","0.714",0
"Southeast Kentucky Community and Technical College","NULL","NULL","NULL","0.5804783452","0.2346477052","3936","13296","www.southeast.kctcs.edu","Southeast","KY","Cumberland","Town","Public","Associate degree","Rank over 230",2.86,"27900","24900","33100","0.443",2
"Southeast Missouri Hospital College of Nursing and Health Sciences","0.381","2","NULL","0.8476821192","0.2715231788","17580","17580","www.sehcollege.edu/","Plains","MO","Cape Girardeau","City","Private nonprofit","Bachelor's degree","Rank over 230",1.39,"48600","PrivacySuppressed","PrivacySuppressed","0.867",0
"Southeast Missouri State University","0.8281","23","1049","0.5954100052","0.0665291387","6990","12375","www.semo.edu","Plains","MO","Cape Girardeau","City","Public","Graduate degree","Rank over 230",1.64,"41400","36200","48800","0.741",53
"Southeast Technical Institute","NULL","NULL","NULL","0.5103492885","0.1196636481","5980","5980","www.southeasttech.edu","Plains","SD","Sioux Falls","Rural","Public","Associate degree","Rank over 230",0.28,"40700","34500","45500","0.75",2
"Southeast Texas Career Institute","NULL","NULL","NULL","PrivacySuppressed","0.3056994819","NULL","NULL","www.setxci.com","Southwest","TX","Silsbee","Town","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Southeastern Baptist College","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","4790","4790","www.southeasternbaptist.edu","Southeast","MS","Laurel","Town","Private nonprofit","Bachelor's degree","Rank over 230",1.96,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.451",0
"Southeastern Baptist Theological Seminary","0.7609","NULL","NULL","NULL","NULL","10500","10500","www.sebts.edu","Southeast","NC","Wake Forest","Suburb","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",1
"Southeastern Bible College","1","21","970","0.3658536585","0.1707317073","12600","12600","sebc.edu/","Southeast","AL","Birmingham","Suburb","Private nonprofit","Bachelor's degree","Rank over 230",1.2,"38800","PrivacySuppressed","PrivacySuppressed","0.696",NA
"Southeastern College-Jacksonville","NULL","NULL","NULL","PrivacySuppressed","0.3287671233","17584","17584","www.sec.edu/","Southeast","FL","Jacksonville","City","Private for profit","Associate degree","Rank over 230",0.91,"24400","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA
"Southeastern College-West Palm Beach","NULL","NULL","NULL","0.835600907","0.2346938776","18288","18288","www.sec.edu/","Southeast","FL","West Palm Beach","Suburb","Private for profit","Associate degree","Rank over 230",2.22,"29600","28300","33500","0.526",0
"Southeastern Community College","NULL","NULL","NULL","0.5939044481","0.1252059308","5220","5370","www.scciowa.edu","Plains","IA","West Burlington","Town","Public","Associate degree","Rank over 230",2.44,"26800","24400","32000","0.478",0
"Southeastern Community College","NULL","NULL","NULL","0.6846153846","0.1107692308","2589","8733","www.sccnc.edu","Southeast","NC","Whiteville","Rural","Public","Associate degree","Rank over 230",1.72,"31800","27200","38700","0.552",0
"Southeastern Community College","NULL","NULL","NULL","0.5939044481","0.1252059308","5220","5370","www.scciowa.edu","Plains","IA","West Burlington","Town","Public","Associate degree","Rank over 230",1.72,"31800","27200","38700","0.552",0
"Southeastern Community College","NULL","NULL","NULL","0.6846153846","0.1107692308","2589","8733","www.sccnc.edu","Southeast","NC","Whiteville","Rural","Public","Associate degree","Rank over 230",2.44,"26800","24400","32000","0.478",0
"Southeastern Illinois College","NULL","NULL","NULL","0.5867446394","0.1208576998","3390","5580","www.sic.edu","Great Lakes","IL","Harrisburg","Rural","Public","Associate degree","Rank over 230",2.26,"33100","26300","44300","0.529",0
"Southeastern Institute-Charleston","NULL","NULL","NULL","0.8858267717","0.1811023622","NULL","NULL","www.southeasterninstitute.com","Southeast","SC","North Charleston","City","Private for profit","Certificate degree","Rank over 230",1.33,"33400","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Southeastern Institute-Charlotte","NULL","NULL","NULL","0.9125","0.1642857143","NULL","NULL","www.southeasterninstitute.com","Southeast","NC","Charlotte","City","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Southeastern Institute-Columbia","NULL","NULL","NULL","0.8723404255","0.2127659574","NULL","NULL","www.southeasterninstitute.com","Southeast","SC","Columbia","City","Private for profit","Certificate degree","Rank over 230",1.68,"29000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Southeastern Louisiana University","0.873","22","1010","0.6394316163","0.0339451352","7773","20251","www.southeastern.edu","Southeast","LA","Hammond","City","Public","Graduate degree","Rank over 230",1.88,"42800","35300","53100","0.697",23
"Southeastern Oklahoma State University","0.7733","21","970","0.5771626298","0.1737024221","6450","15720","www.se.edu","Southwest","OK","Durant","Town","Public","Graduate degree","Rank over 230",1.55,"41000","31900","51400","0.688",8
"Southeastern School of Cosmetology","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.southeasternschoolofcosmetology.com","Southeast","AL","Birmingham","City","Private nonprofit","Certificate degree","Rank over 230",2.72,"20600","PrivacySuppressed","PrivacySuppressed","0.248",NA
"Southeastern Technical College","NULL","NULL","NULL","0.7462422635","0.1786030062","2784","4920","www.southeasterntech.edu","Southeast","GA","Vidalia","Town","Public","Associate degree","Rank over 230",1.54,"23700","21700","31300","0.425",1
"Southeastern Technical Institute","0.7059","NULL","NULL","0.8494623656","0.1666666667","NULL","NULL","www.stitech.edu","New England","MA","South Easton","Rural","Public","Certificate degree","Rank over 230",1.84,"44800","PrivacySuppressed","PrivacySuppressed","0.684",0
"Southeastern University","0.4585","21","978","0.5587135378","0.1050860135","24160","24160","www.seu.edu/","Southeast","FL","Lakeland","City","Private nonprofit","Graduate degree","Rank over 230",1.15,"37900","32700","43900","0.645",13
"Southern Adventist University","NULL","NULL","NULL","0.592864638","0.0398740818","21150","21150","www.southern.edu","Southeast","TN","Collegedale","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.39,"46300","42200","51000","0.709",6
"Southern Arkansas University Main Campus","0.6913","21","989","0.5619419643","0.0574776786","8196","11856","https://www.saumag.edu","Southeast","AR","Magnolia","Town","Public","Graduate degree","Rank over 230",2.21,"39000","34600","44100","0.685",8
"Southern Arkansas University Tech","NULL","NULL","NULL","0.5644599303","0.1306620209","4677","6117","www.sautech.edu","Southeast","AR","Camden","Rural","Public","Associate degree","Rank over 230",2.62,"31200","26100","40800","0.528",1
"Southern California Health Institute","NULL","NULL","NULL","0.5505226481","0.1620209059","NULL","NULL","www.sochi.edu","Far West","CA","Reseda","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Southern California Institute of Architecture","NULL","NULL","NULL","0.4193548387","PrivacySuppressed","42900","42900","www.sciarc.edu","Far West","CA","Los Angeles","City","Private nonprofit","Graduate degree","Rank over 230",2.54,"44200","PrivacySuppressed","PrivacySuppressed","0.774",2
"Southern California Institute of Technology","0.9222","NULL","NULL","0.0415584416","0.2623376623","17335","17335","https://www.scitech.edu","Far West","CA","Anaheim","City","Private for profit","Bachelor's degree","Rank over 230",2.25,"35800","26200","42000","0.537",1
"Southern California Seminary","NULL","NULL","NULL","PrivacySuppressed","0.4444444444","14245","14245","www.socalsem.edu","Far West","CA","El Cajon","Suburb","Private nonprofit","Graduate degree","Rank over 230",2.26,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Southern California University of Health Sciences","NULL","NULL","NULL","0.7567567568","0.2027027027","9012","9012","www.scuhs.edu","Far West","CA","Whittier","Suburb","Private nonprofit","Graduate degree","Rank over 230",NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Southern California University SOMA","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.scusoma.edu","Far West","CA","Los Angeles","City","Private for profit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Southern Careers Institute-Austin","NULL","NULL","NULL","0.6389014637","0.2058246567","NULL","NULL","www.scitexas.edu","Southwest","TX","Austin","City","Private for profit","Certificate degree","Rank over 230",3.03,"24400","22000","34200","0.379",0
"Southern Careers Institute-Brownsville","NULL","NULL","NULL","0.6389014637","0.2058246567","NULL","NULL","www.scitexas.edu","Southwest","TX","Brownsville","City","Private for profit","Certificate degree","Rank over 230",5.58,"24400","22000","34200","0.379",0
"Southern Careers Institute-Corpus Christi","NULL","NULL","NULL","0.6389014637","0.2058246567","NULL","NULL","www.scitexas.edu","Southwest","TX","Corpus Christi","City","Private for profit","Certificate degree","Rank over 230",3.03,"24400","22000","34200","0.379",0
"Southern Careers Institute-Harlingen","NULL","NULL","NULL","0.6389014637","0.2058246567","NULL","NULL","www.scitexas.edu","Southwest","TX","Harlingen","City","Private for profit","Certificate degree","Rank over 230",5.58,"24400","22000","34200","0.379",0
"Southern Careers Institute-Pharr","NULL","NULL","NULL","0.6389014637","0.2058246567","NULL","NULL","www.scitexas.edu","Southwest","TX","Pharr","Suburb","Private for profit","Certificate degree","Rank over 230",3.03,"24400","22000","34200","0.379",0
"Southern Careers Institute-San Antonio","NULL","NULL","NULL","0.6389014637","0.2058246567","NULL","NULL","www.scitexas.edu","Southwest","TX","San Antonio","City","Private for profit","Certificate degree","Rank over 230",3.03,"24400","22000","34200","0.379",0
"Southern Careers Institute-San Antonio","NULL","NULL","NULL","0.6389014637","0.2058246567","NULL","NULL","www.scitexas.edu","Southwest","TX","San Antonio","City","Private for profit","Certificate degree","Rank over 230",5.58,"24400","22000","34200","0.379",0
"Southern College of Optometry","NULL","NULL","NULL","NULL","NULL","NULL","NULL","https://www.sco.edu","Southeast","TN","Memphis","City","Private nonprofit","Graduate degree","Rank over 230",1.68,"101200","92200","113100","0.939",0
"Southern Connecticut State University","0.6352","21","933","0.6305379747","0.0284810127","10054","22915","www.southernct.edu","New England","CT","New Haven","City","Public","Graduate degree","Rank over 230",1.64,"48100","45500","52300","0.78",9
"Southern Crescent Technical College","NULL","NULL","NULL","0.6750086896","0.1584984359","2758","4894","www.sctech.edu","Southeast","GA","Griffin","Suburb","Public","Associate degree","Rank over 230",1.37,"30200","27700","40200","0.535",5
"Southern Illinois University-Carbondale","0.7665","22","1029","0.4896289248","0.0759276879","13481","27130","www.siu.edu","Great Lakes","IL","Carbondale","City","Public","Graduate degree","226",2.07,"49500","42000","55200","0.765",24
"Southern Illinois University-Edwardsville","0.893","23","1068","0.5792239289","0.0507275667","11008","23536","www.siue.edu","Great Lakes","IL","Edwardsville","Suburb","Public","Graduate degree","Rank over 230",1.47,"50800","43400","60100","0.779",11
"Southern Maine Community College","NULL","NULL","NULL","0.5497891664","0.0901719105","3760","6520","www.smccME.edu","New England","ME","South Portland","City","Public","Associate degree","Rank over 230",0.94,"36500","32800","39900","0.669",5
"Southern Methodist University","0.4892","30","1330","0.5095367847","0.025431426","50358","50358","www.smu.edu","Southwest","TX","Dallas","Suburb","Private nonprofit","Graduate degree","59",0.98,"77900","69600","87500","0.835",32
"Southern Nazarene University","NULL","NULL","NULL","0.5496342738","0.2476489028","24468","24468","SNU.EDU","Southwest","OK","Bethany","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.1,"54000","48000","59600","0.812",3
"Southern New Hampshire University","0.9287","NULL","NULL","0.6766710402","0.3307092354","31136","31136","www.snhu.edu","New England","NH","Manchester","Suburb","Private nonprofit","Graduate degree","Rank over 230",0.83,"50200","44400","58800","0.783",16
"Southern Oklahoma Technology Center","NULL","NULL","NULL","0.5934065934","0.3076923077","NULL","NULL","www.sotech.edu","Southwest","OK","Ardmore","Rural","Public","Certificate degree","Rank over 230",1.45,"33200","PrivacySuppressed","PrivacySuppressed","0.606",0
"Southern Oregon University","0.782","22","1020","0.6193480547","0.1125131441","8523","23170","www.sou.edu","Far West","OR","Ashland","Suburb","Public","Graduate degree","Rank over 230",2.5,"43400","40000","47300","0.688",14
"Southern Regional Technical College","NULL","NULL","NULL","0.7327281896","0.1906202723","2654","4790","southernregional.edu","Southeast","GA","Thomasville","Town","Public","Associate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",1
"Southern School of Beauty Inc","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.southernschoolofbeauty.net","Southwest","OK","Durant","Town","Private for profit","Certificate degree","Rank over 230",1.84,"20500","PrivacySuppressed","PrivacySuppressed","0.321",0
"Southern State Community College","NULL","NULL","NULL","0.661163522","0.1918238994","4412","8118","https://www.sscc.edu","Great Lakes","OH","Hillsboro","Town","Public","Associate degree","Rank over 230",1.63,"31100","27700","39500","0.563",0
"Southern Technical College","NULL","NULL","NULL","0.4973375932","0.2332268371","NULL","NULL","www.southerntech.edu","Southeast","FL","Orlando","Suburb","Private for profit","Associate degree","Rank over 230",1.01,"28200","25900","33200","0.481",0
"Southern Technical College","NULL","NULL","NULL","0.8118668596","0.2467438495","14940","14940","www.southerntech.edu","Southeast","FL","Fort Myers","City","Private for profit","Bachelor's degree","Rank over 230",1.66,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Southern Technical College","NULL","NULL","NULL","0.4973375932","0.2332268371","NULL","NULL","www.southerntech.edu","Southeast","FL","Orlando","Suburb","Private for profit","Associate degree","Rank over 230",1.66,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Southern Technical College","NULL","NULL","NULL","0.8118668596","0.2467438495","14940","14940","www.southerntech.edu","Southeast","FL","Fort Myers","City","Private for profit","Bachelor's degree","Rank over 230",1.01,"28200","25900","33200","0.481",0
"Southern Texas Careers Academy","NULL","NULL","NULL","PrivacySuppressed","0.22","NULL","NULL","stcacademy.edu/","Southwest","TX","McAllen","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Southern Union State Community College","NULL","NULL","NULL","0.5953886203","0.0855336556","4352","8096","www.suscc.edu","Southeast","AL","Wadley","Rural","Public","Associate degree","Rank over 230",1.61,"35100","29700","43000","0.594",1
"Southern University and A & M College","0.9879","24","1080","0.6367601246","0.0177570093","9332","19332","www.subr.edu","Southeast","LA","Baton Rouge","City","Public","Graduate degree","Rank over 230",2.97,"39600","35100","45300","0.664",29
"Southern University at New Orleans","0.1154","18","850","0.7254716981","0.0547169811","6421","15322","www.suno.edu","Southeast","LA","New Orleans","City","Public","Graduate degree","Rank over 230",3.22,"32100","29900","36000","0.562",15
"Southern University at Shreveport","NULL","NULL","NULL","0.6566682049","0.0530687587","3996","3996","www.susla.edu","Southeast","LA","Shreveport","City","Public","Associate degree","Rank over 230",3.88,"29800","27600","35600","0.458",1
"Southern University Law Center","NULL","NULL","NULL","0.6367601246","0.0177570093","NULL","NULL","www.sulc.edu/","Southeast","LA","Baton Rouge","City","Public","Graduate degree","Rank over 230",2.97,"39600","35100","45300","0.664",0
"Southern Utah University","0.7228","23","1065","0.5524714829","0.1908745247","6530","19810","https://www.suu.edu/","Rocky Mountains","UT","Cedar City","Town","Public","Graduate degree","Rank over 230",1.58,"45500","28700","59700","0.678",5
"Southern Vermont College","0.6178","18","876","0.5945945946","PrivacySuppressed","23975","23975","https://svc.edu","New England","VT","Bennington","Rural","Private nonprofit","Bachelor's degree","Rank over 230",1.37,"38900","38500","40300","0.714",1
"Southern Virginia University","0.4532","21","993","0.511627907","0.0739957717","14900","14900","www.svu.edu","Southeast","VA","Buena Vista","Town","Private nonprofit","Bachelor's degree","Rank over 230",1.19,"39100","23700","52800","0.628",6
"Southern Wesleyan University","0.5502","NULL","NULL","0.6313672922","0.2037533512","24110","24110","www.swu.edu","Southeast","SC","Central","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.49,"46200","38500","59600","0.769",4
"Southern West Virginia Community and Technical College","NULL","NULL","NULL","0.5978077572","0.1795952782","3556","5980","www.southernwv.edu","Southeast","WV","Mount Gay","Town","Public","Associate degree","Rank over 230",2.37,"29500","23500","42800","0.488",0
"Southern Westchester BOCES-Practical Nursing Program","0.3008","NULL","NULL","0.8776978417","0.2661870504","NULL","NULL","www.swboces.org","Mid East","NY","Harrison","Suburb","Public","Certificate degree","Rank over 230",3.77,"64400","PrivacySuppressed","PrivacySuppressed","0.921",1
"Southern Worcester County Regional Voc School District","NULL","NULL","NULL","PrivacySuppressed","0.2156862745","NULL","NULL","www.baypath.net","New England","MA","Charlton","Rural","Public","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",2
"Southside Regional Medical Center Professional Schools","NULL","NULL","NULL","0.9075630252","0.2016806723","13545","13545","www.srmconline.com","Southeast","VA","Colonial Heights","Suburb","Private for profit","Associate degree","Rank over 230",1.2,"54600","PrivacySuppressed","PrivacySuppressed","0.824",0
"Southside Virginia Community College","NULL","NULL","NULL","0.6398739165","0.1252955083","4463","10361","www.southside.edu","Southeast","VA","Alberta","Rural","Public","Associate degree","Rank over 230",1.61,"27200","24900","32700","0.451",0
"Southwest Acupuncture College-Boulder","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.acupuncturecollege.edu","Rocky Mountains","CO","Boulder","City","Private for profit","Graduate degree","Rank over 230",1.04,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Southwest Acupuncture College-Santa Fe","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.acupuncturecollege.edu","Southwest","NM","Santa Fe","City","Private for profit","Graduate degree","Rank over 230",1.04,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Southwest Baptist University","0.8967","22","1027","0.6520119225","0.1766020864","22508","22508","www.sbuniv.edu","Plains","MO","Bolivar","Town","Private nonprofit","Graduate degree","Rank over 230",1.39,"37400","32300","46700","0.672",8
"Southwest College of Naturopathic Medicine & Health Sciences","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.scnm.edu","Southwest","AZ","Tempe","City","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Southwest Collegiate Institute for the Deaf","NULL","NULL","NULL","0.6570342205","0.1794676806","2560","13990","www.howardcollege.edu/swcid/","Southwest","TX","Big Spring","Town","Public","Associate degree","Rank over 230",1.85,"35700","29200","48700","0.575",1
"Southwest Institute of Healing Arts","NULL","NULL","NULL","0.9070548712","0.2497200448","NULL","NULL","SWIHA.EDU","Southwest","AZ","Tempe","City","Private for profit","Associate degree","Rank over 230",1.11,"31900","PrivacySuppressed","PrivacySuppressed","0.474",0
"Southwest Minnesota State University","0.5419","21","967","0.5977011494","0.0894909688","8347","8347","www.smsu.edu","Plains","MN","Marshall","Town","Public","Graduate degree","Rank over 230",1.05,"41400","35400","48500","0.765",4
"Southwest Mississippi Community College","NULL","NULL","NULL","0.549790795","0.0778242678","2800","5500","www.smcc.edu","Southeast","MS","Summit","Town","Public","Associate degree","Rank over 230",2.91,"32100","25800","42900","0.49",3
"Southwest School of Business and Technical Careers-San Antonio","NULL","NULL","NULL","0.9047619048","0.2010582011","NULL","NULL","www.sws.edu","Southwest","TX","San Antonio","City","Private for profit","Certificate degree","Rank over 230",2.75,"22300","PrivacySuppressed","PrivacySuppressed","0.337",0
"Southwest Technical College","NULL","NULL","NULL","0.4558823529","0.2573529412","NULL","NULL","https://stech.edu/","Rocky Mountains","UT","Cedar City","Town","Public","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Southwest Technology Center","NULL","NULL","NULL","0.6057692308","0.2980769231","NULL","NULL","www.swtech.edu","Southwest","OK","Altus","Town","Public","Certificate degree","Rank over 230",1.11,"37200","PrivacySuppressed","PrivacySuppressed","0.649",0
"Southwest Tennessee Community College","1","NULL","NULL","0.6234652115","0.0600272851","4059","15723","www.southwest.tn.edu","Southeast","TN","Memphis","City","Public","Associate degree","Rank over 230",3.39,"29100","27800","32200","0.49",4
"Southwest Texas Junior College","NULL","NULL","NULL","0.5614448371","0.0926580291","2116","4468","www.swtjc.net","Southwest","TX","Uvalde","Town","Public","Associate degree","Rank over 230",4.54,"33800","26300","45200","0.553",10
"Southwest University at El Paso","NULL","NULL","NULL","0.6031111111","0.2635555556","15000","15000","southwestuniversity.edu","Southwest","TX","El Paso","City","Private for profit","Bachelor's degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Southwest University of Visual Arts-Albuquerque","NULL","NULL","NULL","0.5445544554","0.099009901","22613","22613","www.suva.edu","Southwest","NM","Albuquerque","City","Private for profit","Bachelor's degree","Rank over 230",1.52,"32600","31000","35800","0.597",0
"Southwest University of Visual Arts-Tucson","NULL","NULL","NULL","0.5445544554","0.099009901","23069","23069","www.suva.edu","Southwest","AZ","Tucson","City","Private for profit","Graduate degree","Rank over 230",1.52,"32600","31000","35800","0.597",0
"Southwest Virginia Community College","NULL","NULL","NULL","0.5616956851","0.1937925814","4463","10361","sw.edu","Southeast","VA","Richlands","Rural","Public","Associate degree","Rank over 230",2.08,"30000","24700","38900","0.468",0
"Southwest Wisconsin Technical College","NULL","NULL","NULL","0.5926680244","0.150712831","4340","6204","https://www.swtc.edu","Great Lakes","WI","Fennimore","Rural","Public","Associate degree","Rank over 230",0.91,"36000","32000","41000","0.648",0
"Southwestern Adventist University","0.4997","20","929","0.5696517413","0.1119402985","20276","20276","www.swau.edu/","Southwest","TX","Keene","Town","Private nonprofit","Graduate degree","Rank over 230",2.04,"47100","45300","49900","0.723",1
"Southwestern Assemblies of God University","0.2347","22","980","0.4973913043","0.1608695652","19560","19560","www.sagu.edu","Southwest","TX","Waxahachie","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.68,"38700","31600","44400","0.639",4
"Southwestern Christian College","NULL","NULL","NULL","0.5112781955","PrivacySuppressed","8136","8136","www.swcc.edu","Southwest","TX","Terrell","Town","Private nonprofit","Bachelor's degree","Rank over 230",2.54,"29500","27200","31400","0.423",3
"Southwestern Christian University","0.4111","19","904","0.5043859649","0.1293859649","13080","13080","www.swcu.edu","Southwest","OK","Bethany","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.39,"32300","28500","35900","0.511",1
"Southwestern College","NULL","NULL","NULL","0.5640940709","0.106492216","1336","5956","www.swccd.edu","Far West","CA","Chula Vista","Suburb","Public","Associate degree","Rank over 230",2.62,"34700","30800","40200","0.596",16
